areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-06-15,9168,4597290
overview,United Kingdom,K02000001,2021-06-14,9906,4588122
overview,United Kingdom,K02000001,2021-06-13,6921,4578216
overview,United Kingdom,K02000001,2021-06-12,6093,4571295
overview,United Kingdom,K02000001,2021-06-11,7433,4565202
overview,United Kingdom,K02000001,2021-06-10,7837,4557769
overview,United Kingdom,K02000001,2021-06-09,7980,4549932
overview,United Kingdom,K02000001,2021-06-08,7662,4541952
overview,United Kingdom,K02000001,2021-06-07,7710,4534290
overview,United Kingdom,K02000001,2021-06-06,5401,4526580
overview,United Kingdom,K02000001,2021-06-05,4617,4521179
overview,United Kingdom,K02000001,2021-06-04,5710,4516562
overview,United Kingdom,K02000001,2021-06-03,6092,4510852
overview,United Kingdom,K02000001,2021-06-02,6044,4504760
overview,United Kingdom,K02000001,2021-06-01,5242,4498716
overview,United Kingdom,K02000001,2021-05-31,3800,4493474
overview,United Kingdom,K02000001,2021-05-30,3096,4489674
overview,United Kingdom,K02000001,2021-05-29,2930,4486578
overview,United Kingdom,K02000001,2021-05-28,3488,4483648
overview,United Kingdom,K02000001,2021-05-27,3630,4480160
overview,United Kingdom,K02000001,2021-05-26,3797,4476530
overview,United Kingdom,K02000001,2021-05-25,3294,4472733
overview,United Kingdom,K02000001,2021-05-24,3227,4469439
overview,United Kingdom,K02000001,2021-05-23,2238,4466212
overview,United Kingdom,K02000001,2021-05-22,1931,4463974
overview,United Kingdom,K02000001,2021-05-21,2288,4462043
overview,United Kingdom,K02000001,2021-05-20,2424,4459755
overview,United Kingdom,K02000001,2021-05-19,2710,4457331
overview,United Kingdom,K02000001,2021-05-18,2705,4454621
overview,United Kingdom,K02000001,2021-05-17,2760,4451916
overview,United Kingdom,K02000001,2021-05-16,1852,4449156
overview,United Kingdom,K02000001,2021-05-15,1579,4447304
overview,United Kingdom,K02000001,2021-05-14,1849,4445725
overview,United Kingdom,K02000001,2021-05-13,2091,4443876
overview,United Kingdom,K02000001,2021-05-12,2228,4441785
overview,United Kingdom,K02000001,2021-05-11,2200,4439557
overview,United Kingdom,K02000001,2021-05-10,2649,4437357
overview,United Kingdom,K02000001,2021-05-09,2168,4434708
overview,United Kingdom,K02000001,2021-05-08,1511,4432540
overview,United Kingdom,K02000001,2021-05-07,1864,4431029
overview,United Kingdom,K02000001,2021-05-06,2157,4429165
overview,United Kingdom,K02000001,2021-05-05,2390,4427008
overview,United Kingdom,K02000001,2021-05-04,2401,4424618
overview,United Kingdom,K02000001,2021-05-03,1974,4422217
overview,United Kingdom,K02000001,2021-05-02,1423,4420243
overview,United Kingdom,K02000001,2021-05-01,1354,4418820
overview,United Kingdom,K02000001,2021-04-30,1699,4417466
overview,United Kingdom,K02000001,2021-04-29,2083,4415767
overview,United Kingdom,K02000001,2021-04-28,2361,4413684
overview,United Kingdom,K02000001,2021-04-27,2059,4411323
overview,United Kingdom,K02000001,2021-04-26,2438,4409264
overview,United Kingdom,K02000001,2021-04-25,1993,4406826
overview,United Kingdom,K02000001,2021-04-24,1462,4404833
overview,United Kingdom,K02000001,2021-04-23,1888,4403371
overview,United Kingdom,K02000001,2021-04-22,2244,4401483
overview,United Kingdom,K02000001,2021-04-21,2538,4399239
overview,United Kingdom,K02000001,2021-04-20,2361,4396701
overview,United Kingdom,K02000001,2021-04-19,2594,4394340
overview,United Kingdom,K02000001,2021-04-18,2434,4391746
overview,United Kingdom,K02000001,2021-04-17,1634,4389312
overview,United Kingdom,K02000001,2021-04-16,2188,4387678
overview,United Kingdom,K02000001,2021-04-15,2185,4385490
overview,United Kingdom,K02000001,2021-04-14,2394,4383305
overview,United Kingdom,K02000001,2021-04-13,2332,4380911
overview,United Kingdom,K02000001,2021-04-12,2703,4378579
overview,United Kingdom,K02000001,2021-04-11,2251,4375876
overview,United Kingdom,K02000001,2021-04-10,2259,4373625
overview,United Kingdom,K02000001,2021-04-09,2781,4371366
overview,United Kingdom,K02000001,2021-04-08,2980,4368585
overview,United Kingdom,K02000001,2021-04-07,3075,4365605
overview,United Kingdom,K02000001,2021-04-06,3115,4362530
overview,United Kingdom,K02000001,2021-04-05,2614,4359415
overview,United Kingdom,K02000001,2021-04-04,2292,4356801
overview,United Kingdom,K02000001,2021-04-03,2405,4354509
overview,United Kingdom,K02000001,2021-04-02,2621,4352104
overview,United Kingdom,K02000001,2021-04-01,3470,4349483
overview,United Kingdom,K02000001,2021-03-31,3764,4346013
overview,United Kingdom,K02000001,2021-03-30,3595,4342249
overview,United Kingdom,K02000001,2021-03-29,3978,4338654
overview,United Kingdom,K02000001,2021-03-28,4650,4334676
overview,United Kingdom,K02000001,2021-03-27,3537,4330026
overview,United Kingdom,K02000001,2021-03-26,4388,4326489
overview,United Kingdom,K02000001,2021-03-25,5392,4322101
overview,United Kingdom,K02000001,2021-03-24,6004,4316709
overview,United Kingdom,K02000001,2021-03-23,5253,4310705
overview,United Kingdom,K02000001,2021-03-22,6199,4305452
overview,United Kingdom,K02000001,2021-03-21,5234,4299253
overview,United Kingdom,K02000001,2021-03-20,4097,4294019
overview,United Kingdom,K02000001,2021-03-19,4995,4289922
overview,United Kingdom,K02000001,2021-03-18,5473,4284927
overview,United Kingdom,K02000001,2021-03-17,5777,4279454
overview,United Kingdom,K02000001,2021-03-16,5673,4273677
overview,United Kingdom,K02000001,2021-03-15,6504,4268004
overview,United Kingdom,K02000001,2021-03-14,4300,4261500
overview,United Kingdom,K02000001,2021-03-13,4240,4257200
overview,United Kingdom,K02000001,2021-03-12,5586,4252960
overview,United Kingdom,K02000001,2021-03-11,5769,4247374
overview,United Kingdom,K02000001,2021-03-10,6034,4241605
overview,United Kingdom,K02000001,2021-03-09,6219,4235571
overview,United Kingdom,K02000001,2021-03-08,6640,4229352
overview,United Kingdom,K02000001,2021-03-07,4271,4222712
overview,United Kingdom,K02000001,2021-03-06,4495,4218441
overview,United Kingdom,K02000001,2021-03-05,5297,4213946
overview,United Kingdom,K02000001,2021-03-04,5719,4208649
overview,United Kingdom,K02000001,2021-03-03,5967,4202930
overview,United Kingdom,K02000001,2021-03-02,6652,4196963
overview,United Kingdom,K02000001,2021-03-01,6875,4190311
overview,United Kingdom,K02000001,2021-02-28,4709,4183436
overview,United Kingdom,K02000001,2021-02-27,4815,4178727
overview,United Kingdom,K02000001,2021-02-26,6571,4173912
overview,United Kingdom,K02000001,2021-02-25,7711,4167341
overview,United Kingdom,K02000001,2021-02-24,8536,4159630
overview,United Kingdom,K02000001,2021-02-23,9386,4151094
overview,United Kingdom,K02000001,2021-02-22,11242,4141708
overview,United Kingdom,K02000001,2021-02-21,7870,4130466
overview,United Kingdom,K02000001,2021-02-20,8050,4122596
overview,United Kingdom,K02000001,2021-02-19,10380,4114546
overview,United Kingdom,K02000001,2021-02-18,11403,4104166
overview,United Kingdom,K02000001,2021-02-17,11558,4092763
overview,United Kingdom,K02000001,2021-02-16,12476,4081205
overview,United Kingdom,K02000001,2021-02-15,14262,4068729
overview,United Kingdom,K02000001,2021-02-14,8752,4054467
overview,United Kingdom,K02000001,2021-02-13,8756,4045715
overview,United Kingdom,K02000001,2021-02-12,12152,4036959
overview,United Kingdom,K02000001,2021-02-11,12739,4024807
overview,United Kingdom,K02000001,2021-02-10,13480,4012068
overview,United Kingdom,K02000001,2021-02-09,13793,3998588
overview,United Kingdom,K02000001,2021-02-08,15696,3984795
overview,United Kingdom,K02000001,2021-02-07,11357,3969099
overview,United Kingdom,K02000001,2021-02-06,11970,3957742
overview,United Kingdom,K02000001,2021-02-05,15841,3945772
overview,United Kingdom,K02000001,2021-02-04,17949,3929931
overview,United Kingdom,K02000001,2021-02-03,19394,3911982
overview,United Kingdom,K02000001,2021-02-02,19751,3892588
overview,United Kingdom,K02000001,2021-02-01,22339,3872837
overview,United Kingdom,K02000001,2021-01-31,15371,3850498
overview,United Kingdom,K02000001,2021-01-30,16670,3835127
overview,United Kingdom,K02000001,2021-01-29,21765,3818457
overview,United Kingdom,K02000001,2021-01-28,24142,3796692
overview,United Kingdom,K02000001,2021-01-27,25669,3772550
overview,United Kingdom,K02000001,2021-01-26,26966,3746881
overview,United Kingdom,K02000001,2021-01-25,29899,3719915
overview,United Kingdom,K02000001,2021-01-24,17157,3690016
overview,United Kingdom,K02000001,2021-01-23,21821,3672859
overview,United Kingdom,K02000001,2021-01-22,29533,3651038
overview,United Kingdom,K02000001,2021-01-21,31661,3621505
